EQUIPO,ID_TEAM
Arsenal,0e9cdb8e
Liverpool,0e9cdb8f
Manchester City,0e9cdb90
Aston Villa,0e9cdb91
Tottenham Hotspur,0e9cdb92
Manchester United,0e9cdb93
West Ham United,0e9cdb94
Brighton & Hove Albion,0e9cdb95
Wolverhampton Wanderers,0e9cdb96
Newcastle United,0e9cdb97
Chelsea,0e9cdb98
Fulham,0e9cdb99
AFC Bournemouth,0e9cdb9a
Crystal Palace,0e9cdb9b
Brentford,0e9cdb9c
Everton,0e9cdb9d
Luton Town,0e9cdb9e
Nottingham Forest,0e9cdb9f
Burnley,0e9cdba0
ff UtdSheffield United,0e9cdba1
